Address,Balance (BTC)
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248597.57112624
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,140574.82545125
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,130010.07846649
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,123537.0090657
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,94643.48485609
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79957.26798167
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,78317.03547576
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,77446.57892492
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,69370.18136452
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,68200.00661141
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,61000.09603806
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,55988.82000897
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.06590944
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,51830.40133436
bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,44194.36882796
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,44012.66927359
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,44000.08723278
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,41242.19757077
bc1qcardnx2pjnh0ce0rsdkce2yxxr9v6pt9a6qya3,40984.18113222
3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37927.07814113
bc1q0phej5lfqc8ed69f53l5mxw78svx878lgpqesl,36854.81430703
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,36000.42380093
bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqntpens,35277.262915
bc1qzwhw94uldd3c8736lsxrda6t6x56030f8zk8nr,33056.48324615
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,32321.00231392
